area,crimeType,count,year,month,day,hour,festival,riskLevel
Pearl City,assault,4,2024,6,14,0,Diwali,high
Third Mile,robbery,9,2023,5,6,17,New Year,moderate
Victoria Extension,drug abuse,2,2024,3,28,20,New Year,moderate
Millerpuram,theft,9,2024,7,19,14,Diwali,low
Nazreth,harassment,1,2023,3,31,1,Christmas,moderate
Millerpuram,assault,6,2023,4,22,7,Ayudha Pooja,low
Mattakadai,assault,6,2023,10,19,23,Ayudha Pooja,moderate
Kovilpillai Nagar,robbery,6,2023,1,17,15,Vishu,moderate
Nazreth,assault,6,2024,6,24,8,Diwali,low
New Colony,robbery,7,2024,3,4,6,,low
Victoria Extension,robbery,4,2024,11,4,3,Diwali,low
New Colony,harassment,10,2023,6,27,18,Diwali,moderate
Tiruchendur Road,theft,7,2024,5,8,18,New Year,high
Therespuram,murder,3,2024,11,23,21,New Year,low
Thoothukudi Port,vandalism,2,2023,2,20,6,Diwali,high
Tiruchendur Road,harassment,9,2023,12,11,13,New Year,moderate
Bryant Nagar,harassment,7,2024,12,8,8,Ayudha Pooja,high
Victoria Extension,harassment,6,2023,3,8,6,New Year,low
Beach Road,murder,2,2024,3,17,13,Pongal,high
Nazreth,harassment,4,2024,12,13,8,Ayudha Pooja,low
Athimarapatti,vandalism,7,2024,8,24,7,Christmas,low
Muthiahpuram,harassment,7,2023,2,19,17,Ayudha Pooja,low
Third Mile,assault,5,2024,2,26,7,,moderate
Bryant Nagar,robbery,5,2023,6,7,10,Pongal,moderate
Pearl City,vandalism,3,2023,7,28,21,Vishu,moderate
Millerpuram,vandalism,6,2024,6,26,15,,high
Millerpuram,assault,8,2024,7,29,4,,low
Pearl City,robbery,5,2023,9,21,21,Christmas,low
Muthiahpuram,robbery,9,2023,6,2,10,Ayudha Pooja,moderate
Therespuram,vandalism,5,2023,11,16,23,Ayudha Pooja,high
Muthiahpuram,theft,3,2023,12,27,0,,low
Mattakadai,vandalism,3,2023,10,23,11,Vishu,high
Tiruchendur Road,drug abuse,1,2024,1,6,14,Vishu,high
Therespuram,assault,10,2024,5,19,18,Christmas,low
Bryant Nagar,harassment,1,2023,7,21,14,Christmas,low
New Colony,murder,4,2024,4,9,11,Diwali,high
Kovilpillai Nagar,theft,2,2024,2,24,17,,high
Mattakadai,robbery,1,2024,8,28,20,,low
Tiruchendur Road,harassment,10,2024,8,2,16,Vishu,low
Bryant Nagar,drug abuse,7,2023,3,2,5,Ayudha Pooja,moderate
Thoothukudi Port,murder,4,2024,8,28,14,Vishu,high
Kovilpillai Nagar,vandalism,10,2023,1,17,20,New Year,moderate
Bryant Nagar,murder,2,2023,9,14,17,Pongal,moderate
Muthiahpuram,robbery,9,2024,9,28,13,Pongal,low
Third Mile,assault,7,2023,9,18,17,New Year,moderate
Athimarapatti,vandalism,2,2024,6,1,23,Pongal,moderate
Thoothukudi Port,assault,8,2023,12,19,19,Pongal,high
Tiruchendur Road,theft,4,2024,2,23,17,Diwali,moderate
Bryant Nagar,murder,3,2024,5,13,18,,low
Thoothukudi Port,assault,5,2023,8,29,21,Ayudha Pooja,low
Mattakadai,harassment,2,2023,10,20,2,Pongal,low
Mattakadai,harassment,2,2024,10,28,7,Pongal,moderate
Mattakadai,harassment,10,2023,1,14,4,Ayudha Pooja,low
Nazreth,robbery,8,2024,11,9,22,New Year,moderate
Mattakadai,murder,5,2023,8,29,2,Christmas,moderate
Millerpuram,harassment,8,2024,11,21,23,Vishu,moderate
Third Mile,assault,4,2023,6,12,16,New Year,moderate
Mattakadai,harassment,3,2023,8,21,13,Vishu,low
Victoria Extension,drug abuse,9,2024,2,11,17,Pongal,high
Bryant Nagar,vandalism,4,2024,11,22,16,Ayudha Pooja,moderate
Bryant Nagar,drug abuse,5,2024,11,28,16,Christmas,high
Kovilpillai Nagar,vandalism,7,2024,11,29,0,Diwali,moderate
Therespuram,drug abuse,5,2024,11,3,20,New Year,low
Kovilpillai Nagar,assault,1,2023,4,17,17,Pongal,high
Thoothukudi Port,murder,2,2023,9,15,1,New Year,low
Pearl City,murder,2,2023,9,15,16,Diwali,high
Pearl City,vandalism,9,2023,10,12,2,Vishu,high
Nazreth,vandalism,4,2024,8,27,18,New Year,moderate
Athimarapatti,assault,7,2023,6,28,14,Vishu,moderate
Thoothukudi Port,theft,5,2024,9,21,17,Christmas,high
Victoria Extension,assault,2,2023,1,10,0,Vishu,moderate
Victoria Extension,assault,8,2024,5,11,20,New Year,low
Tiruchendur Road,murder,8,2023,8,25,11,Christmas,moderate
Bryant Nagar,theft,6,2024,5,21,0,Diwali,moderate
Muthiahpuram,vandalism,5,2024,1,3,16,Christmas,high
Nazreth,theft,7,2024,1,29,17,Ayudha Pooja,moderate
Mattakadai,murder,2,2023,7,25,13,Vishu,moderate
Beach Road,robbery,5,2023,11,20,4,Diwali,low
Tiruchendur Road,vandalism,5,2023,11,3,12,Diwali,high
Thoothukudi Port,drug abuse,10,2024,1,9,17,Vishu,low
Bryant Nagar,drug abuse,4,2024,3,18,20,New Year,moderate
Mattakadai,murder,10,2024,4,21,2,Vishu,low
Kovilpillai Nagar,murder,1,2023,4,28,23,Ayudha Pooja,low
New Colony,murder,8,2024,4,20,15,New Year,low
Tiruchendur Road,robbery,5,2024,4,24,9,Diwali,low
Kovilpillai Nagar,drug abuse,1,2024,4,23,8,Vishu,moderate
Athimarapatti,vandalism,1,2024,11,9,6,Diwali,moderate
Nazreth,theft,9,2024,8,8,10,New Year,low
Thoothukudi Port,murder,2,2024,1,29,2,Christmas,moderate
Athimarapatti,robbery,6,2024,5,3,17,Christmas,moderate
Muthiahpuram,assault,9,2023,9,5,6,,low
Beach Road,assault,1,2024,7,13,10,,low
Athimarapatti,robbery,2,2024,8,23,21,Pongal,low
Bryant Nagar,assault,8,2024,9,26,5,Vishu,moderate
Victoria Extension,vandalism,8,2023,1,15,5,Diwali,low
Beach Road,murder,7,2023,4,11,21,Vishu,high
Athimarapatti,robbery,2,2024,3,13,0,New Year,high
Bryant Nagar,drug abuse,1,2023,6,13,11,Pongal,moderate
Beach Road,drug abuse,4,2024,9,30,22,,low
Kovilpillai Nagar,assault,8,2024,12,3,21,Pongal,moderate
Thoothukudi Port,theft,6,2023,6,14,18,Pongal,low
Therespuram,theft,9,2024,11,18,20,Ayudha Pooja,low
Bryant Nagar,drug abuse,7,2023,4,21,9,,high
Tiruchendur Road,theft,2,2024,12,21,10,Diwali,low
Beach Road,murder,10,2024,7,28,21,New Year,high
Muthiahpuram,murder,10,2024,4,1,10,Christmas,low
Bryant Nagar,murder,2,2024,1,28,15,Pongal,moderate
Muthiahpuram,theft,9,2023,12,18,13,Pongal,moderate
Nazreth,theft,7,2023,9,9,10,Christmas,high
Victoria Extension,theft,4,2024,8,13,19,,moderate
Pearl City,harassment,3,2024,11,4,11,,moderate
Millerpuram,assault,2,2024,6,27,11,Pongal,low
Bryant Nagar,murder,4,2023,1,21,11,Christmas,moderate
Beach Road,drug abuse,2,2024,10,20,22,Diwali,high
Bryant Nagar,robbery,7,2023,6,29,20,Vishu,moderate
Therespuram,drug abuse,8,2023,9,23,8,Vishu,high
Victoria Extension,assault,8,2023,8,14,3,New Year,high
Thoothukudi Port,assault,2,2023,8,2,4,,low
Nazreth,murder,5,2023,12,9,0,Diwali,high
Millerpuram,murder,1,2023,6,8,9,New Year,moderate
Victoria Extension,theft,3,2024,5,23,1,Ayudha Pooja,low
Victoria Extension,robbery,4,2023,5,29,7,Pongal,low
Beach Road,harassment,10,2023,6,2,4,New Year,high
Muthiahpuram,murder,5,2023,12,7,18,Vishu,low
Third Mile,theft,8,2024,11,29,21,Diwali,moderate
Mattakadai,robbery,7,2024,10,11,2,Vishu,high
Tiruchendur Road,harassment,4,2023,6,12,21,Christmas,high
Kovilpillai Nagar,vandalism,5,2024,12,25,17,,moderate
Tiruchendur Road,vandalism,5,2024,6,4,5,Pongal,high
Thoothukudi Port,assault,9,2023,4,24,10,Diwali,moderate
New Colony,vandalism,1,2023,9,27,3,New Year,high
Nazreth,murder,9,2023,7,1,16,Diwali,moderate
Athimarapatti,drug abuse,7,2024,5,1,2,,high
Tiruchendur Road,theft,6,2023,5,8,11,Ayudha Pooja,moderate
Kovilpillai Nagar,murder,1,2023,3,10,12,New Year,high
Thoothukudi Port,vandalism,4,2024,4,13,11,Ayudha Pooja,moderate
New Colony,drug abuse,6,2023,12,23,3,Diwali,moderate
Kovilpillai Nagar,drug abuse,8,2024,4,3,13,Pongal,moderate
Thoothukudi Port,assault,1,2023,7,10,6,Pongal,moderate
Victoria Extension,drug abuse,10,2024,2,18,16,Diwali,high
Mattakadai,murder,2,2023,3,17,20,Diwali,low
Beach Road,theft,2,2023,4,7,14,,moderate
Therespuram,vandalism,2,2023,3,7,6,,high
Victoria Extension,drug abuse,1,2023,12,21,2,Diwali,low
Athimarapatti,drug abuse,6,2024,10,7,3,,low
Beach Road,drug abuse,2,2024,6,29,4,New Year,high
Victoria Extension,murder,5,2023,9,10,20,Vishu,low
Pearl City,murder,7,2024,1,17,7,New Year,moderate
Tiruchendur Road,drug abuse,2,2024,11,1,14,Christmas,high
Beach Road,robbery,1,2023,3,25,14,,moderate
Millerpuram,theft,5,2023,9,19,20,,low
Millerpuram,robbery,8,2023,2,23,9,Pongal,high
Mattakadai,drug abuse,5,2024,11,1,9,Diwali,low
Kovilpillai Nagar,drug abuse,6,2023,4,27,20,New Year,low
Thoothukudi Port,robbery,7,2023,5,19,1,Vishu,moderate
Kovilpillai Nagar,assault,7,2023,1,15,7,Christmas,low
Nazreth,drug abuse,7,2023,2,5,15,Vishu,high
Athimarapatti,harassment,4,2024,11,6,1,New Year,moderate
Bryant Nagar,robbery,9,2023,12,25,18,Christmas,high
Muthiahpuram,robbery,4,2023,8,29,13,New Year,high
New Colony,vandalism,5,2024,7,31,5,Vishu,low
Athimarapatti,vandalism,7,2024,7,5,8,Christmas,low
Pearl City,robbery,9,2024,12,20,1,Pongal,moderate
Millerpuram,vandalism,7,2024,4,26,23,Christmas,moderate
Millerpuram,assault,2,2024,4,1,13,Ayudha Pooja,high
Therespuram,harassment,8,2024,3,6,18,Diwali,moderate
Therespuram,murder,8,2023,2,9,10,Ayudha Pooja,low
Beach Road,robbery,2,2023,6,21,16,,moderate
Kovilpillai Nagar,vandalism,9,2023,4,10,0,Pongal,high
Pearl City,vandalism,10,2024,7,7,19,New Year,high
Pearl City,robbery,9,2023,4,10,7,Ayudha Pooja,high
Beach Road,vandalism,8,2024,12,1,21,Diwali,low
Therespuram,harassment,1,2024,5,31,21,Diwali,moderate
Athimarapatti,vandalism,9,2024,5,17,5,Ayudha Pooja,low
Tiruchendur Road,drug abuse,2,2024,2,9,12,Ayudha Pooja,low
Muthiahpuram,vandalism,7,2023,12,7,22,Ayudha Pooja,moderate
Beach Road,murder,2,2024,12,30,22,Pongal,moderate
Millerpuram,drug abuse,9,2024,3,8,4,Vishu,low
Victoria Extension,murder,5,2023,2,21,10,Pongal,low
Third Mile,vandalism,3,2023,9,13,1,Diwali,low
Therespuram,theft,9,2023,1,24,17,Christmas,moderate
Millerpuram,robbery,7,2023,8,16,13,New Year,high
Thoothukudi Port,harassment,2,2023,11,14,6,Diwali,high
Athimarapatti,harassment,4,2023,11,22,23,,moderate
Third Mile,drug abuse,6,2023,7,23,23,New Year,low
Victoria Extension,harassment,4,2023,9,22,6,Ayudha Pooja,high
Tiruchendur Road,murder,7,2023,5,16,11,Diwali,high
Third Mile,theft,8,2023,7,7,2,Pongal,high
Therespuram,murder,8,2024,11,5,19,Christmas,low
Mattakadai,murder,7,2024,11,4,13,Diwali,high
Millerpuram,harassment,9,2023,3,25,16,Pongal,low
Beach Road,assault,3,2023,8,3,22,Christmas,low
Mattakadai,murder,2,2024,6,14,21,Ayudha Pooja,moderate
Tiruchendur Road,murder,7,2023,10,6,20,Ayudha Pooja,moderate
Millerpuram,robbery,10,2023,6,29,5,Christmas,high
Tiruchendur Road,drug abuse,4,2023,10,16,15,Pongal,high
New Colony,drug abuse,2,2024,10,25,21,,moderate
